Keyword (class) - Line 1, Column 1
Identifier (MyClass) - Line 1, Column 7
Keyword (begin) - Line 1, Column 15
Keyword (int) - Line 2, Column 5
Identifier (_value) - Line 2, Column 9
Assignment Operator (=) - Line 2, Column 16
Integer Literal (10) - Line 2, Column 18
Semicolon (;) - Line 2, Column 20
Keyword (void) - Line 4, Column 5
Identifier (set_value) - Line 4, Column 10
Left Parenthesis (() - Line 4, Column 19
Keyword (int) - Line 4, Column 20
Identifier (_value) - Line 4, Column 24
Right Parenthesis ()) - Line 4, Column 30
Keyword (begin) - Line 5, Column 5
Identifier (_value) - Line 6, Column 9
Assignment Operator (=) - Line 6, Column 16
Identifier (value) - Line 6, Column 18
Semicolon (;) - Line 6, Column 23
Keyword (end) - Line 7, Column 5
Keyword (end) - Line 8, Column 1
Keyword (int) - Line 10, Column 1
Identifier (main) - Line 10, Column 5
Keyword (begin) - Line 10, Column 10
Keyword (float) - Line 11, Column 5
Identifier (var1) - Line 11, Column 11
Assignment Operator (=) - Line 11, Column 16
Float Literal (0.05f) - Line 11, Column 18
Semicolon (;) - Line 11, Column 23
Keyword (double) - Line 12, Column 5
Identifier (var2) - Line 12, Column 12
Assignment Operator (=) - Line 12, Column 17
Double Literal (0.05) - Line 12, Column 19
Semicolon (;) - Line 12, Column 23
Identifier (MyClass) - Line 13, Column 5
Identifier (myClassInstance) - Line 13, Column 13
Semicolon (;) - Line 13, Column 28
Identifier (myClassInstance) - Line 14, Column 5
Member Access Operator (.) - Line 14, Column 20
Identifier (set_value) - Line 14, Column 21
Left Parenthesis (() - Line 14, Column 30
Integer Literal (10) - Line 14, Column 31
Right Parenthesis ()) - Line 14, Column 33
Semicolon (;) - Line 14, Column 34
Keyword (return) - Line 15, Column 5
Integer Literal (0) - Line 15, Column 12
Semicolon (;) - Line 15, Column 13
Keyword (end) - Line 16, Column 1
